Steroid,Administration,Half-life,Anabolic/Androgenic Ratio,Common Dosage (mg/day or mg/week),Potential Side Effects,Detection Time,Legality (USA),Typical Use,Water Retention,Aromatization Potential,Hepatotoxicity,Water Retention Severity,Estrogen Conversion Risk,Anabolic Potency,Androgenic Potency,Appetite Stimulation,Aggression Elevation,Fat Loss Promotion,Joint Support,Libido Effects
Dianabol (Methandrostenolone),Oral,4-6 hours,90-210:40-60,20-50mg/day,"Water retention, gynecomastia",5-6 weeks,Illegal,Bulking,High,High,Yes,High,Yes,Moderate,Moderate,No,High,Yes,No,Increased
Anadrol (Oxymetholone),Oral,9 hours,320:45,50-150mg/day,"Water retention, liver toxicity",8 weeks,Illegal,Bulking,High,Low,Yes,High,No,High,Moderate,Yes,High,No,Yes,Increased
Winstrol (Stanozolol),Oral,9 hours,320:30,25-50mg/day,"Joint pain, liver toxicity",3-4 weeks,Illegal,Cutting,Low,None,Yes,Low,No,High,Low,No,Moderate,Yes,No,Neutral
Turinabol (Chlorodehydromethyltestosterone),Oral,16 hours,54:6,20-50mg/day,"Liver toxicity, cholesterol imbalance",6 weeks,Illegal,Cutting,Low,None,Yes,Low,No,Moderate,Low,No,Low,Moderate,No,Neutral
Anavar (Oxandrolone),Oral,9 hours,322-630:24,20-80mg/day,"Hair loss, liver toxicity",3 weeks,Illegal,Cutting,Low,None,Yes,Low,No,Moderate,Low,No,Low,High,No,Neutral
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900:850,10-40mg/day,"Aggression, liver toxicity",2 months,Illegal,Strength,Low,None,Yes,Low,No,Very High,Very High,No,High,No,No,Decreased
Proviron (Mesterolone),Oral,12 hours,100-150:30-40,25-50mg/day,"Low libido, cholesterol issues",5-6 weeks,Legal (prescription),Cutting,None,None,No,None,No,Moderate,Low,No,Low,Yes,No,Increased
Methyltestosterone,Oral,6-12 hours,115:45,20-50mg/day,"Liver toxicity, aggression",6 weeks,Illegal,Bulking,High,High,Yes,High,Yes,Moderate,Moderate,No,High,No,No,Decreased
Superdrol (Methyldrostanolone),Oral,8-10 hours,400:20,10-30mg/day,"Liver toxicity, aggression",8 weeks,Illegal,Cutting,None,None,Yes,None,No,Very High,Low,No,High,Yes,No,Neutral
Epistane (Methylepitiostanol),Oral,6 hours,1100:91,10-30mg/day,"Liver toxicity, cholesterol issues",6 weeks,Illegal,Cutting,None,None,Yes,None,No,High,Low,No,Moderate,Moderate,No,Neutral
Testosterone Enanthate,Injectable,4.5 days,100:100,250-500mg/week,"Acne, hair loss, gynecomastia",3 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,Moderate,Moderate,No,Increased
Testosterone Cypionate,Injectable,12 days,100:100,250-500mg/week,"Water retention, acne",3 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,Moderate,Moderate,No,Increased
Testosterone Propionate,Injectable,2-4 days,100:100,50-100mg/every other day,"Acne, water retention",2 weeks,Legal (prescription),Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Testosterone Suspension,Injectable,1 day,100:100,50-100mg/day,"Mood swings, acne",1 day,Legal (prescription),Bulking,None,None,No,None,Yes,Moderate,Moderate,Yes,High,No,No,Increased
Sustanon 250 (Testosterone Blend),Injectable,15-18 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,Moderate,No,Increased
Deca-Durabolin (Nandrolone Decanoate),Injectable,6-12 days,125:37,200-600mg/week,"Gynecomastia, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Trenbolone Acetate,Injectable,2-3 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Trenbolone Enanthate,Injectable,7-10 days,500:500,200-400mg/week,"Aggression, night sweats",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Equipoise (Boldenone Undecylenate),Injectable,14 days,100:50,400-600mg/week,"Acne, increased appetite",5 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Masteron (Drostanolone Propionate),Injectable,2-3 days,62:25,200-400mg/week,"Hair loss, aggression",3 months,Illegal,Cutting,None,None,No,None,No,Moderate,Moderate,No,Moderate,Yes,No,Neutral
Primobolan (Methenolone Enanthate),Injectable,10-14 days,88:44,400-800mg/week,"Hair loss, acne",5 months,Illegal,Cutting,None,None,No,None,No,Moderate,Moderate,No,Moderate,Yes,No,Neutral
Durabolin (Nandrolone Phenylpropionate),Injectable,2-3 days,125:37,100-200mg/week,"Water retention, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
Parabolan (Trenbolone Hexahydrobenzylcarbonate),Injectable,10-14 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,None,No,None,No,High,Very High,Yes,High,Moderate,No,Increased
Testosterone Undecanoate,Injectable,20-24 days,100:100,1000-2000mg/4 weeks,"Gynecomastia, water retention",6 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,No,Yes,Increased
Winstrol Depot (Stanozolol Injection),Injectable,9 hours,320:30,50-100mg/day,"Joint pain, liver toxicity",3 weeks,Illegal,Cutting,Low,None,Yes,Low,No,High,Low,No,Low,Yes,No,Neutral
NPP (Nandrolone Phenylpropionate),Injectable,2-3 days,125:37,200-400mg/week,"Water retention, acne",18 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Moderate,Moderate,Yes,Increased
DHB (Dihydroboldenone),Injectable,8-10 days,200:100,200-400mg/week,"Aggression, hair loss",6 months,Illegal,Bulking,Moderate,Moderate,No,Moderate,Yes,High,Moderate,Yes,Moderate,Moderate,No,Increased
Testosterone Phenylpropionate,Injectable,2-3 days,100:100,50-100mg/every other day,"Acne, water retention",18 months,Illegal,Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,Moderate,Yes,Increased
Trestolone (Ment),Injectable,50 hours,2300:650,50-100mg/day,"Liver toxicity, aggression",3 months,Illegal,Bulking,High,Low,Yes,High,No,Very High,Very High,No,High,No,No,Increased
Omnadren (Testosterone Blend),Injectable,15-18 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,High,No,High,Yes,Moderate,High,Yes,High,Moderate,Yes,Increased
Boldenone (Equipoise),Injectable,14 days,100:50,400-600mg/week,"Acne, increased appetite",5 months,Illegal,Bulking,Moderate,,,,,,,,,,,
Masteron (Drostanolone Propionate),Injectable,2-3 days,62:25,200-400mg/week,"Hair loss, aggression",3 months,Illegal,Cutting,None,,,,,,,,,,,
Primobolan (Methenolone Enanthate),Injectable,10 days,88:44,400-800mg/week,"Hair loss, acne",5 months,Illegal,Cutting,None,,,,,,,,,,,
Deca Durabolin (Nandrolone Decanoate),Injectable,6-12 days,125:37,200-600mg/week,"Gynecomastia, acne",18 months,Illegal,Bulking,Moderate,,,,,,,,,,,
Trenbolone Acetate,Injectable,2-3 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,,,,,,,,,,,
Trenbolone Enanthate,Injectable,7-10 days,500:500,200-400mg/week,"Aggression, night sweats",5 months,Illegal,Bulking,None,,,,,,,,,,,
Sustanon 250,Injectable,10-14 days,100:100,500mg/week,"Water retention, acne",3-4 months,Legal (prescription),Bulking,High,,,,,,,,,,,
Testosterone Enanthate,Injectable,4-5 days,100:100,250-500mg/week,"Acne, hair loss, gynecomastia",3 months,Legal (prescription),Bulking,High,,,,,,,,,,,
Testosterone Cypionate,Injectable,12 days,100:100,250-500mg/week,"Water retention, acne",3 months,Legal (prescription),Bulking,High,,,,,,,,,,,
Clenbuterol,Oral,36 hours,NA,40-120mcg/day,"Increased heart rate, jitteriness",2 days,Legal,Cutting,None,,,,,,,,,,,
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900:850,10-40mg/day,"Aggression, liver toxicity",2 months,Illegal,Strength,Low,,,,,,,,,,,
Proviron (Mesterolone),Oral,12 hours,100-150:30-40,25-50mg/day,"Low libido, cholesterol issues",5-6 weeks,Legal (prescription),Cutting,None,,,,,,,,,,,
Anavar (Oxandrolone),Oral,9 hours,322-630:24,20-80mg/day,"Hair loss, liver toxicity",3 weeks,Illegal,Cutting,Low,,,,,,,,,,,
Superdrol,Oral,8-12 hours,400:20,10-30mg/day,"Liver toxicity, aggression",8 weeks,Illegal,Cutting,None,,,,,,,,,,,
Parabolan (Trenbolone Hexahydrobenzylcarbonate),Injectable,10-14 days,500:500,200-400mg/week,"Night sweats, aggression",5 months,Illegal,Bulking,None,,,,,,,,,,,
